37,Xbox One S 1TB Console,Microsoft,Home Consoles,"Play over 100 console exclusives and a growing library of Xbox 360 games on the newly designed Xbox One S, the only console with 4K Ultra HD Blu-ray, 4K video streaming, and HDR. Stream your favourite films and shows in stunning 4K Ultra HD. Then play blockbusters like Gears of War 4 and Battlefield 1 with friends on Xbox Live, the fastest, most reliable gaming network.",299.95,10
38,Nintendo 3DS Console - Black,Nintendo,Handheld Consoles,Nintendo 3DS includes two screens. The bottom touch screen makes use of a telescoping stylus that is stored in the unit itself. The top screen displays 3D visuals to the naked eye. Looking at the screen is like peering through a window into a world where characters and objects have true depth. ,149.99,10
39,Nintendo Switch Console with Neon Red/Blue Joy-Con,Nintendo,Home Consoles,"Do what you never thought possible with Nintendo Switch. Go from single- and multi-player thrills at home, to playing the same title wherever and whenever you want. Or detach the controllers and give one to a friend for some on-the-go, local multiplayer action.",379.99,10
40,new Nintendo 2DS XL (Purple/Silver) with Mario Kart 7,Nintendo,Handheld Consoles,"New Nintendo 2DS XL plays all Nintendo 3DS games in 2D. With a large 4.88 inch screen, and weighing in at around 260 grams, its a new kind of Nintendo 2DS.",199.99,10
41,Airpod 2,Apple,Headphones,Wireless. Effortless. Magical.Introducing wireless AirPods. Just take them out and they’re ready to use with all your Apple devices.,219.99,10
42,Galaxy Buds,Samsung,Headphones,"Welcome to a world without wires. Samsung Galaxy Buds deliver clear calls, your favourite podcasts, and the music you love while keeping you aware of your surroundings when walking, working, or at the gym.",199.99,10
43,Over-Ear Noise Cancelling Headphones ,Sony,Accessories,Revel in your music with the Sony Over-Ear Bluetooth headphones. Noise-canceling technology and a 40mm liquid crystal polymer driver combine to bring you one of the best listening experiences you can have.,449.99,10
44,Google Home Mini ,Google,Accessories,"Small, simple, and powerful. Say hello to Google Home Mini. This helpful voice-activated smart home speaker is powered by Google Assistant, giving you hands-free control of your smart home, including Nest, Philips Hue, Belkin, and WeMo devices. Ask the Mini questions, tell it do things, and get answers from Google using only your voice.",79.99,10
45,Google Home,Google,Accessories,"Hi-tech assistance at your command, Google Home is here to help. Powered by Google Assistant, this voice-activated speaker responds to your voice to deliver the information you need and the music you crave. Simply called upon with ""OK, Google"", Google Home can even control other smart devices in your home to dim the lights or turn up the heat.",179.99,10
46,Google Chromecast,Google,Accessories,"With Google Chromecast you can watch movies, sports, television shows and more. All you have to do is plug Chromecast into your TVs HDMI port and you can watch content from over 1000 apps streamed directly from your smartphone. Plus, Chromecast and Google Home connect seamlessly to give you convenient voice control.",45,10
47, Apple Watch 4,Apple,Accessories,"Introducing Apple Watch Series 4. Fundamentally redesigned and reengineered to help you stay even more active, healthy, and connected. The largest Apple Watch display yet. Built-in electrical heart sensor. New Digital Crown with haptic feedback. Low and high heart rate notifications. Fall detection and Emergency SOS.",500,10
48,Apple Watch 3,Apple,Accessories,"Stay connected in style with the 42mm GPS + Cellular Apple Watch Series 3, which comes with a silver anodized aluminum chassis and a white Sport band. Designed for users looking for the next generation of connectivity, Apples Watch moves your iPhones apps and functions to your wrist, so you can do more while leaving your phone in your pocket. ",400,10
49,Studio 3 headphones,Apple,Headphones,"Enjoy a premium listening experience and complete wireless freedom with the Beats Studio 3 over-ear headphones. Pure Adaptive Noise Canceling (Pure ANC) actively blocks unwanted external noise, while real-time audio calibration preserves the clarity, range, and emotion in your favourite music.",400,10
50,Beats Pill+,Apple,Headphones,"Bring the party with you wherever you go with this Beats Pill+ wireless speaker. Sporting built-in Bluetooth, it pairs easily with your enabled devices so you can enjoy crisp, room-filling sound and wireless convenience. A built-in speakerphone lets you make and take calls, while the downloadable Beat Pill+ app enhances your listening experience.",249.99,10
